Depth,Coverage,Integral,Number of reads
34.927083333333336,98.64583333333333,33530.0,332
position,depth,type_of_strand
691,-16.0,-
692,-16.0,-
693,-16.0,-
694,-16.0,-
695,-16.0,-
696,-16.0,-
697,-16.0,-
698,-16.0,-
699,-14.0,-
700,-14.0,-
701,-14.0,-
702,-14.0,-
703,-14.0,-
704,-14.0,-
705,-14.0,-
706,-14.0,-
707,-14.0,-
708,-14.0,-
709,-14.0,-
710,-14.0,-
711,-14.0,-
712,-14.0,-
713,-14.0,-
714,-14.0,-
715,-16.0,-
716,-16.0,-
717,-16.0,-
718,-18.0,-
719,-18.0,-
720,-18.0,-
721,-18.0,-
722,-16.0,-
723,-14.0,-
724,-14.0,-
725,-14.0,-
726,-14.0,-
727,-14.0,-
728,-14.0,-
729,-14.0,-
730,-14.0,-
731,-14.0,-
732,-14.0,-
733,-14.0,-
734,-14.0,-
735,-16.0,-
736,-16.0,-
737,-16.0,-
738,-16.0,-
739,-16.0,-
740,-16.0,-
741,-16.0,-
742,-16.0,-
743,-16.0,-
744,-16.0,-
745,-16.0,-
746,-16.0,-
747,-16.0,-
748,-16.0,-
749,-18.0,-
750,-16.0,-
751,-18.0,-
752,-18.0,-
753,-18.0,-
754,-18.0,-
755,-18.0,-
756,-16.0,-
757,-16.0,-
758,-16.0,-
759,-14.0,-
760,-14.0,-
761,-14.0,-
762,-14.0,-
763,-14.0,-
764,-14.0,-
765,-14.0,-
766,-14.0,-
767,-14.0,-
768,-14.0,-
769,-14.0,-
770,-14.0,-
771,-16.0,-
772,-16.0,-
773,-16.0,-
774,-16.0,-
775,-16.0,-
776,-14.0,-
777,-14.0,-
778,-14.0,-
779,-14.0,-
780,-14.0,-
781,-14.0,-
782,-14.0,-
783,-14.0,-
784,-14.0,-
785,-14.0,-
786,-14.0,-
787,-14.0,-
788,-14.0,-
789,-12.0,-
790,-12.0,-
791,-12.0,-
792,-12.0,-
793,-12.0,-
794,-12.0,-
795,-12.0,-
796,-12.0,-
797,-14.0,-
798,-14.0,-
799,-16.0,-
800,-16.0,-
801,-16.0,-
802,-16.0,-
803,-16.0,-
804,-16.0,-
805,-18.0,-
806,-18.0,-
807,-18.0,-
808,-18.0,-
809,-18.0,-
810,-18.0,-
811,-20.0,-
812,-20.0,-
813,-20.0,-
814,-20.0,-
815,-20.0,-
816,-18.0,-
817,-18.0,-
818,-18.0,-
819,-16.0,-
820,-16.0,-
821,-16.0,-
822,-16.0,-
823,-16.0,-
824,-16.0,-
825,-16.0,-
826,-16.0,-
827,-16.0,-
828,-16.0,-
829,-16.0,-
830,-16.0,-
831,-16.0,-
832,-16.0,-
833,-18.0,-
834,-18.0,-
835,-18.0,-
836,-16.0,-
837,-16.0,-
838,-16.0,-
839,-16.0,-
840,-16.0,-
841,-16.0,-
842,-16.0,-
843,-16.0,-
844,-16.0,-
845,-16.0,-
846,-18.0,-
847,-18.0,-
848,-18.0,-
849,-18.0,-
850,-16.0,-
851,-16.0,-
852,-14.0,-
853,-14.0,-
854,-14.0,-
855,-16.0,-
856,-16.0,-
857,-16.0,-
858,-16.0,-
859,-18.0,-
860,-18.0,-
861,-18.0,-
862,-18.0,-
863,-18.0,-
864,-18.0,-
865,-18.0,-
866,-18.0,-
867,-18.0,-
868,-18.0,-
869,-18.0,-
870,-18.0,-
871,-18.0,-
872,-16.0,-
873,-16.0,-
874,-16.0,-
875,-16.0,-
876,-16.0,-
877,-16.0,-
878,-16.0,-
879,-16.0,-
880,-16.0,-
881,-16.0,-
882,-16.0,-
883,-16.0,-
884,-16.0,-
885,-16.0,-
886,-16.0,-
887,-16.0,-
888,-16.0,-
889,-16.0,-
890,-16.0,-
891,-16.0,-
892,-16.0,-
893,-16.0,-
894,-16.0,-
895,-16.0,-
896,-16.0,-
897,-16.0,-
898,-14.0,-
899,-14.0,-
900,-12.0,-
901,-12.0,-
902,-12.0,-
903,-12.0,-
904,-12.0,-
905,-12.0,-
906,-10.0,-
907,-10.0,-
908,-10.0,-
909,-10.0,-
910,-10.0,-
911,-10.0,-
912,-8.0,-
913,-8.0,-
914,-8.0,-
915,-8.0,-
916,-8.0,-
917,-8.0,-
918,-8.0,-
919,-8.0,-
920,-8.0,-
921,-8.0,-
922,-8.0,-
923,-8.0,-
924,-8.0,-
925,-8.0,-
926,-8.0,-
927,-8.0,-
928,-8.0,-
929,-8.0,-
930,-8.0,-
931,-8.0,-
932,-8.0,-
933,-8.0,-
934,-6.0,-
935,-6.0,-
936,-6.0,-
937,-6.0,-
938,-6.0,-
939,-6.0,-
940,-6.0,-
941,-6.0,-
942,-6.0,-
943,-6.0,-
944,-6.0,-
945,-6.0,-
946,-6.0,-
947,-4.0,-
948,-4.0,-
949,-4.0,-
950,-4.0,-
951,-4.0,-
952,-4.0,-
953,-4.0,-
954,-4.0,-
955,-4.0,-
956,-2.0,-
957,-2.0,-
958,-2.0,-
